572715750,Anastasiia Krapivina,RUS,aquatics,0,0,0
766355560,Anastasiia Nedobiga,UKR,aquatics,0,0,0
830248205,Anastasiya Savchuk,UKR,aquatics,0,0,0
711528333,Anastasiya Tyurina,TJK,aquatics,0,0,0
775627135,Andelo Setka,CRO,aquatics,0,1,0
449230343,Anders Lie Nielsen,DEN,aquatics,0,0,0
321939680,Andre Pereira,BRA,aquatics,0,0,0
161123035,Andrea Cedron,PER,aquatics,0,0,0
626748734,Andrea Chiarabini,ITA,aquatics,0,0,0
575091525,Andrea D'Arrigo,ITA,aquatics,0,0,0
419373605,Andrea Fondelli,ITA,aquatics,0,0,1
65085149,Andrea Kneppers,NED,aquatics,0,0,0
448392462,Andrea Murez,ISR,aquatics,0,0,0
234036323,Andrea Toniato,ITA,aquatics,0,0,0
908623609,Andreas Vazaios,GRE,aquatics,0,0,0
494617052,Andrei Shabasov,RUS,aquatics,0,0,0
264432420,Andreina Pinto,VEN,aquatics,0,0,0
164276381,Andrew Chetcuti,MLT,aquatics,0,0,0
584794145,Andrew Willis,GBR,aquatics,0,0,0
915732512,Andrey Grechin,RUS,aquatics,0,0,0
619323217,Andrii Govorov,UKR,aquatics,0,0,0
789218383,Andrija Prlainovic,SRB,aquatics,1,0,0
109066206,Andrius Sidlauskas,LTU,aquatics,0,0,0
277394115,Andro Buslje,CRO,aquatics,0,1,0
647265868,Angelika Sita Ouedraogo,BUR,aquatics,0,0,0
493430225,Angelos Vlachopoulos,GRE,aquatics,0,0,0
145066330,Anita Alvarez,USA,aquatics,0,0,0
639948235,Anja Crevar,SRB,aquatics,0,0,0
623213060,Anja Klinar,SLO,aquatics,0,0,0
110782111,Anna Dowgiert,POL,aquatics,0,0,0
800527374,Anna Espar Llaquet,ESP,aquatics,0,0,0
739353909,Anna Greta Olasz,HUN,aquatics,0,0,0
721775367,Anna Grineva,RUS,aquatics,0,0,1
128450991,Anna Illes,HUN,aquatics,0,0,0
218793925,Anna Karnaukh,RUS,aquatics,0,0,1
613249321,Anna Ntountounaki,GRE,aquatics,0,0,0
602398132,Anna Santamans,FRA,aquatics,0,0,0
320661487,Anna Sztankovics,HUN,aquatics,0,0,0
475900147,Anna Timofeeva,RUS,aquatics,0,0,1
760246597,Anna Ustyukhina,RUS,aquatics,0,0,1
628102440,Anna Voloshyna,UKR,aquatics,0,0,0
878372430,Anna-Maria Alexandri,AUT,aquatics,0,0,0
724113769,Annika Bruhn,GER,aquatics,0,0,0
293695659,Anthonny Sitraka Ralefy,MAD,aquatics,0,0,0
547860838,Anthony Barbar,LIB,aquatics,0,0,0
261223419,Anthony Ervin,USA,aquatics,2,0,0
989516794,Anton Chupkov,RUS,aquatics,0,0,1
393253446,Anton Ipsen,DEN,aquatics,0,0,0
108256011,Anton McKee,ISL,aquatics,0,0,0
438649023,Antonio Arroyo Perez,ESP,aquatics,0,0,0
53317288,Antonio PETROVIC,MNE,aquatics,0,0,0
151724741,Antonio Petkovic,CRO,aquatics,0,1,0
503893240,Anze Tavcar,SLO,aquatics,0,0,0
746896443,Apostolos Christou,GRE,aquatics,0,0,0
381423797,Ari-Pekka Liukkonen,FIN,aquatics,0,0,0
952365137,Aria Fischer,USA,aquatics,1,0,0
177132328,Arianna Castiglioni,ITA,aquatics,0,0,0
712016882,Arianna Garibotti,ITA,aquatics,0,1,0
656130098,Arianna Vanderpool-Wallace,BAH,aquatics,0,0,0
197129425,Arina Openysheva,RUS,aquatics,0,0,0
223079860,Arseth Heather,MRI,aquatics,0,0,0
574180353,Arya Nasimi Shad,IRI,aquatics,0,0,0
687479557,Ash Southern,AUS,aquatics,0,0,0
143278150,Ashleigh Johnson,USA,aquatics,1,0,0
902296774,Ashton Baumann,CAN,aquatics,0,0,0
877684883,Atsushi Arai,JPN,aquatics,0,0,0
50738602,Atsuto Iida,JPN,aquatics,0,0,0
731428841,Attila Decker,HUN,aquatics,0,0,0
330818489,Audrey Lacroix,CAN,aquatics,0,0,0
364491097,Aurelie Muller,FRA,aquatics,0,0,0
932761050,Awa Ly Ndiaye,SEN,aquatics,0,0,0
603312305,Azad Albarzi,SYR,aquatics,0,0,0
21166109,Baean Jouma,SYR,aquatics,0,0,0
302183046,Balasz Sziranyi Somogyi,ESP,aquatics,0,0,0
682683760,Balazs Erdelyi,HUN,aquatics,0,0,0
958780251,Balazs Harai,HUN,aquatics,0,0,0
628540930,Barbara Bujka,HUN,aquatics,0,0,0
233978154,Barbora Seemanova,CZE,aquatics,0,0,0
759587471,Barbora Zavadova,CZE,aquatics,0,0,0
670680423,Basten Caerts,BEL,aquatics,0,0,0
864630818,Beatrice Callegari,ITA,aquatics,0,0,0
483770449,Beatriz Feres,BRA,aquatics,0,0,0
871879403,Beatriz Ortiz Munoz,ESP,aquatics,0,0,0
782850902,Belinda Hocking,AUS,aquatics,0,0,0
905247284,Ben Proud,GBR,aquatics,0,0,0
764834942,Ben Schwietert,NED,aquatics,0,0,0
795193546,Bence Pulai,HUN,aquatics,0,0,0
181551295,Benjamin Auffret,FRA,aquatics,0,0,0
202636824,Benjamin Gratz,HUN,aquatics,0,0,0
429748988,Benjamin Hallock,USA,aquatics,0,0,0
138745925,Benjamin Hockin Brusquetti,PAR,aquatics,0,0,0
279378478,Benjamin Schulte,GUM,aquatics,0,0,0
351550766,Bernardo Oneto Gomes,BRA,aquatics,0,0,0
44038366,Bernardo Rocha,BRA,aquatics,0,0,0
634276383,Beryl Gastaldello,FRA,aquatics,0,0,0
826009653,Bianca Hammett,AUS,aquatics,0,0,0
787821587,Billy Scott Irakoze,BDI,aquatics,0,0,0
944420337,Birgit Koschischek,AUT,aquatics,0,0,0
522639871,Bjorn Hornikel,GER,aquatics,0,0,0
735422828,Blai Mallarach Guell,ESP,aquatics,0,0,0
304290646,Blair Evans,AUS,aquatics,0,0,0
570608473,Blake Pieroni,USA,aquatics,1,0,0
306720792,Bo Qiu,CHN,aquatics,0,0,0
23204063,Boglarka Kapas,HUN,aquatics,0,0,1
861405399,Boris Kirillov,AZE,aquatics,0,0,0
797423057,Bourhan Abro,DJI,aquatics,0,0,0
573991365,Bradlee Ashby,NZL,aquatics,0,0,0
220375842,Bradley Edward Tandy,RSA,aquatics,0,0,0
943842758,Bradley Vincent,MRI,aquatics,0,0,0
919979883,Branca Feres,BRA,aquatics,0,0,0
148847003,Brandon Schuster,SAM,aquatics,0,0,0
128091825,Brandonn Almeida,BRA,aquatics,0,0,0
349293339,Branislav Mitrovic,SRB,aquatics,1,0,0
826864352,Brave Lifa,MAW,aquatics,0,0,0
998710520,Bret Bonanni,USA,aquatics,0,0,0
123998646,Brianna Throssell,AUS,aquatics,0,0,0
974255098,Brittany Elmslie,AUS,aquatics,1,1,0
975241751,Brittany Maclean,CAN,aquatics,0,0,1
667985741,Brittany O'Brien,AUS,aquatics,0,0,0
942791136,Bronte Barratt,AUS,aquatics,0,1,0
936338083,Bronte Campbell,AUS,aquatics,1,0,0
339065127,Bronwen Knox,AUS,aquatics,0,0,0
934893676,Bruno Fratus,BRA,aquatics,0,0,0
836716137,Bruno Ortiz Canavate Ozeki,ESP,aquatics,0,0,0
326008552,Bunturabie Jalloh,SLE,aquatics,0,0,0
598623977,Caba Siladji,SRB,aquatics,0,0,0
247346852,Caeleb Dressel,USA,aquatics,2,0,0
227626203,Calvyn Justus,RSA,aquatics,0,0,0
638140243,Cam Kurle,GBR,aquatics,0,0,0
464109574,Cameron McEvoy,AUS,aquatics,0,0,2
59463747,Cameron van der Burgh,RSA,aquatics,0,1,0
761225267,Camila Pedrosa,BRA,aquatics,0,0,0
814870853,Camilla Cattaneo,ITA,aquatics,0,0,0
338343277,Camilla Hattersley,GBR,aquatics,0,0,0
788191192,Camille Cheng,HKG,aquatics,0,0,0
614590923,Camille Lacourt,FRA,aquatics,0,0,0
94450987,Cammile Adams,USA,aquatics,0,0,0
992315197,Carlos Claverie,VEN,aquatics,0,0,0
983424219,Carlos Peralta Gallego,ESP,aquatics,0,0,0
383488560,Carlotta Zofkova,ITA,aquatics,0,0,0
468505846,Cate Campbell,AUS,aquatics,1,1,0
62565482,Catherine Meili,USA,aquatics,1,0,1
71279109,Caylee Watson,ISV,aquatics,0,0,0
518609220,Cesar Castro,BRA,aquatics,0,0,0
51787706,Chad Guy Bertrand le Clos,RSA,aquatics,0,2,0
797308674,Chad Ho,RSA,aquatics,0,0,0
543504980,Chantal Van Landeghem,CAN,aquatics,0,0,1
912660957,Chao He,CHN,aquatics,0,0,0
403574731,Charlotte Bonnet,FRA,aquatics,0,0,0
280839325,Chase Kalisz,USA,aquatics,0,1,0
638380672,Chelsea Lea Gubecka,AUS,aquatics,0,0,0
831305339,Chengxin Yin,CHN,aquatics,0,1,0
875043196,Chiara Masini Luccetti,ITA,aquatics,0,0,0
781396990,Chiara Tabani,ITA,aquatics,0,1,0
32395502,Chihiro Igarashi,JPN,aquatics,0,0,0
622470385,Chloe Marie Helene Sauvourel,CAF,aquatics,0,0,0
150543887,Chloe Tutton,GBR,aquatics,0,0,0
628001010,Chris Mears,GBR,aquatics,1,0,0
150373801,Chris Walker-Hebborn,GBR,aquatics,0,1,0
798416693,Christian Diener,GER,aquatics,0,0,0
530803618,Christian Nassif Djidagui,CAF,aquatics,0,0,0
839986218,Christian Presciutti,ITA,aquatics,0,0,1
150989629,Christian Reichert,GER,aquatics,0,0,0
607156497,Christian Vom Lehn,GER,aquatics,0,0,0
971332873,Christodoulos Kolomvos,GRE,aquatics,0,0,0
85448954,Christoph Fildebrandt,GER,aquatics,0,0,0
731592178,Christoph Martin Meier,LIE,aquatics,0,0,0
893971715,Christopher Patrick Reid,RSA,aquatics,0,0,0
491621394,Christos Afroudakis,GRE,aquatics,0,0,0
178446035,Christos Katrantzis,GRE,aquatics,0,0,0
786574595,Cierra Runge,USA,aquatics,1,0,0
716197496,Clara Espar Llaquet,ESP,aquatics,0,0,0
736895804,Clark Smith,USA,aquatics,1,0,0
130234491,Claudia Lau,HKG,aquatics,0,0,0
469894756,Clemens Rapp,GER,aquatics,0,0,0
112490441,Clement Mignon,FRA,aquatics,0,1,0
81383299,Cloe Hache,FRA,aquatics,0,0,0
710695405,Cody Miller,USA,aquatics,1,0,1
758562583,Colleen Furgeson,MHL,aquatics,0,0,0
6156543,Cong Zhang,CHN,aquatics,0,0,0
420887334,Connor Jaeger,USA,aquatics,0,1,0
453971347,Conor Dwyer,USA,aquatics,1,0,1
299370363,Constantin Blaha,AUT,aquatics,0,0,0
606804046,Coralie Balmy,FRA,aquatics,0,0,0
473676473,Corey Main,NZL,aquatics,0,0,0
362762819,Corey Ollivierre,GRN,aquatics,0,0,0
931635380,Costanza Ferro,ITA,aquatics,0,0,0
760942208,Courtney Mathewson,USA,aquatics,1,0,0
100145266,Craig Benson,GBR,aquatics,0,0,0
367878750,Cristian Quintero,VEN,aquatics,0,0,0
788552666,Cristina Sheehan,AUS,aquatics,0,0,0
679515187,Daiene Marcal,BRA,aquatics,0,0,0
192954208,Daiya Seto,JPN,aquatics,0,0,1
