1	57010
2	10039
3	89748
4	293742
5	126245
6	60171
7	93814
8	78390
9	540
10	67840
11	296552
12	248577
13	221598
14	228437
15	57405
16	4287
17	87
18	90950
19	36782
20	38870
21	32153
22	1780
23	201651
24	89630
25	225593
26	71207
27	208239
28	110077
29	225615
30	163432
31	81862
32	84011
33	217330
34	138726
35	171112
36	18450
37	57395
38	1783
39	28508
40	217034
41	18660
42	89066
43	84009
44	108864
45	56384
46	217027
47	20743
48	31877
49	61974
50	111230
51	83397
52	108537
53	7463
54	9
55	38885
56	88503
57	102913
58	7894
59	98149
60	7900
61	101779
62	38876
63	16272
64	83781
65	148706
66	5
67	82788
68	1136
69	109212
70	73222
71	31622
72	75978
73	1600
74	104809
75	93813
76	14949
77	33126
78	211499
79	250796
80	499
81	51252
82	111238
83	109215
84	17526
85	6638
86	10103
87	0
88	13284
89	3
90	271944
91	2
92	207838
93	257621
94	110913
95	218007
96	2826
97	38862
98	272070
99	123195
100	84003
